name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
Glass Half Full Taproom,4.5,38.0120269,-78.4995089,"375 Merchant Walk Square, Charlottesville",N/A,"bar, restaurant, point_of_interest, food, establishment",41
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",762
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, food, point_of_interest, establishment",607
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1090
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, bakery, meal_takeaway, restaurant, food, store, point_of_interest, establishment",454
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, restaurant, food, store, point_of_interest, establishment",686
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, food, point_of_interest, establishment",1371
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, food, point_of_interest, establishment",2321
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",89
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment",614
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",261
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, food, store, point_of_interest, establishment",41
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1041
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",134
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"gas_station, convenience_store, restaurant, food, store, point_of_interest, establishment",417
Taco Bell,3.4,38.0114933,-78.50268539999999,"1158 5th Street Southwest, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",814
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, food, point_of_interest, establishment",153
Burger King,3,38.0112129,-78.50493999999999,"1181 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",639
Krispy Kreme,3.9,38.01045209999999,-78.4976451,"295 Merchant Walk Avenue, Charlottesville",1,"cafe, bakery, restaurant, food, store, point_of_interest, establishment",653
Kanak Indian Kitchen,4.6,38.0117177,-78.4988716,"385 Merchant Walk Square Suite 400, Charlottesville",2,"restaurant, meal_delivery, meal_takeaway, food, point_of_interest, establishment",560
BurgerFi,3.3,38.0116705,-78.4991905,"385 Merchant Walk Square, Charlottesville",2,"meal_takeaway, restaurant, food, point_of_interest, establishment",183
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, store, point_of_interest, food, establishment",3282
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",762
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, point_of_interest, food, establishment",607
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, restaurant, store, point_of_interest, food, establishment",127
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, point_of_interest, food, establishment",368
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"bar, meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",371
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, store, point_of_interest, food, establishment",614
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1090
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, meal_takeaway, bakery, restaurant, store, point_of_interest, food, establishment",454
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, restaurant, store, point_of_interest, food, establishment",686
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, point_of_interest, food, establishment",1371
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, point_of_interest, food, establishment",2321
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1041
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, store, point_of_interest, food, establishment",41
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, point_of_interest, food, establishment",153
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, point_of_interest, food, establishment",300
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"gas_station, convenience_store, restaurant, store, point_of_interest, food, establishment",417
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, food, establishment",89
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",261
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, point_of_interest, food, establishment",134
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, store, food, point_of_interest, establishment",3282
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",762
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, food, point_of_interest, establishment",607
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, store, food, point_of_interest, establishment",1205
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_delivery, meal_takeaway, bar, restaurant, food, point_of_interest, establishment",371
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",127
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, food, point_of_interest, establishment",368
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, food, point_of_interest, establishment",129
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, store, restaurant, food, point_of_interest, establishment",614
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1090
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, food, point_of_interest, establishment",300
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, food, point_of_interest, establishment",153
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, store, restaurant, food, point_of_interest, establishment",41
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1041
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, bakery, meal_takeaway, store, restaurant, food, point_of_interest, establishment",454
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, store, restaurant, food, point_of_interest, establishment",686
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",N/A
Spencer party,N/A,38.0244641,-78.4755275,"824 Hinton Avenue, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",N/A
Mockingbird,4.6,38.0245712,-78.47495049999999,"421 Monticello Road, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",133
CONMOLE,4.7,38.024679,-78.4757654,"816 Hinton Avenue, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",160
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, store, point_of_interest, food, establishment",3282
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",762
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, store, point_of_interest, food, establishment",1205
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"bar, meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",371
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, point_of_interest, food, establishment",607
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, restaurant, store, point_of_interest, food, establishment",127
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, point_of_interest, food, establishment",368
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, point_of_interest, food, establishment",129
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, store, point_of_interest, food, establishment",614
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1090
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, point_of_interest, food, establishment",300
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, point_of_interest, food, establishment",153
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, store, point_of_interest, food, establishment",41
FIREFLY Restaurant + Game Room,4.4,38.0259711,-78.4672162,"1304 East Market Street, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",848
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1041
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
Monticello Café,4,38.00572029999999,-78.4518507,"1050 Monticello Loop, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",382
Spencer party,N/A,38.0244641,-78.4755275,"824 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
Mockingbird,4.6,38.0245712,-78.47495049999999,"421 Monticello Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",133
CONMOLE,4.7,38.024679,-78.4757654,"816 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",160
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, point_of_interest, store, food, establishment",3282
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, point_of_interest, store, food, establishment",1205
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_delivery, meal_takeaway, bar, restaurant, point_of_interest, food, establishment",371
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",762
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, restaurant, point_of_interest, store, food, establishment",127
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, point_of_interest, food, establishment",368
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, point_of_interest, food, establishment",607
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, point_of_interest, food, establishment",129
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, point_of_interest, store, food, establishment",614
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1090
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, point_of_interest, food, establishment",300
FIREFLY Restaurant + Game Room,4.4,38.0259711,-78.4672162,"1304 East Market Street, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",848
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, point_of_interest, food, establishment",153
Monticello Café,4,38.00572029999999,-78.4518507,"1050 Monticello Loop, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",382
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
Broadcloth,4.9,38.0198172,-78.45564739999999,"1837 Broadway Street, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",95
Mockingbird,4.6,38.0245712,-78.47495049999999,"421 Monticello Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",133
Spencer party,N/A,38.0244641,-78.4755275,"824 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
CONMOLE,4.7,38.024679,-78.4757654,"816 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",160
Belle,4.6,38.0248883,-78.4752932,"407 Monticello Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",231
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, store, point_of_interest, food, establishment",3282
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, store, point_of_interest, food, establishment",1205
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_takeaway, bar, meal_delivery, restaurant, point_of_interest, food, establishment",371
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, store, restaurant, point_of_interest, food, establishment",127
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, point_of_interest, food, establishment",368
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, point_of_interest, food, establishment",607
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, point_of_interest, food, establishment",129
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1090
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, point_of_interest, food, establishment",300
FIREFLY Restaurant + Game Room,4.4,38.0259711,-78.4672162,"1304 East Market Street, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",848
Monticello Café,4,38.00572029999999,-78.4518507,"1050 Monticello Loop, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",382
Broadcloth,4.9,38.0198172,-78.45564739999999,"1837 Broadway Street, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",95
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
Holly's Diner,4.6,38.02667739999999,-78.46761649999999,"1221 East Market Street, Charlottesville",1,"restaurant, point_of_interest, food, establishment",372
Orzo Kitchen & Wine Bar,4.5,38.0305847,-78.48712239999999,"416 West Main Street, Charlottesville",3,"bar, restaurant, food, point_of_interest, establishment",602
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, bakery, meal_takeaway, restaurant, food, point_of_interest, store, establishment",454
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, food, point_of_interest, establishment",2321
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, store, establishment",686
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, food, point_of_interest, establishment",1371
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",89
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",261
Blue Moon Diner,4.5,38.0308887,-78.4883571,"606 West Main Street, Charlottesville",1,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment",480
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1041
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",134
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, food, point_of_interest, store, establishment",41
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"gas_station, convenience_store, restaurant, food, point_of_interest, store, establishment",417
Taco Bell,3.4,38.0114933,-78.50268539999999,"1158 5th Street Southwest, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",814
Burger King,3,38.0112129,-78.50493999999999,"1181 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",639
Jefferson Ale House,4.2,38.03198769999999,-78.4927361,"852 West Main Street #110, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",273
Kanak Indian Kitchen,4.6,38.0117177,-78.4988716,"385 Merchant Walk Square Suite 400, Charlottesville",2,"restaurant, meal_delivery, meal_takeaway, food, point_of_interest, establishment",560
Glass Half Full Taproom,4.5,38.0120269,-78.4995089,"375 Merchant Walk Square, Charlottesville",N/A,"bar, restaurant, food, point_of_interest, establishment",41
Harold’s Chicken,3.5,38.0117222,-78.4992517,"385 Merchant Walk Square, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",19
BurgerFi,3.3,38.0116705,-78.4991905,"385 Merchant Walk Square, Charlottesville",2,"meal_takeaway, restaurant, food, point_of_interest, establishment",183
Wing Zone,3.5,38.01175009999999,-78.4994059,"385 Merchant Walk Square, Charlottesville",2,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",119
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",762
South Street Brewery,4.4,38.029338,-78.482687,"106 South Street West, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",545
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, point_of_interest, food, establishment",607
Continental Divide,4.6,38.0319244,-78.49109969999999,"811 West Main Street, Charlottesville",2,"restaurant, point_of_interest, food, establishment",322
Orzo Kitchen & Wine Bar,4.5,38.0305847,-78.48712239999999,"416 West Main Street, Charlottesville",3,"bar, restaurant, point_of_interest, food, establishment",602
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, store, point_of_interest, food, establishment",614
