name,types
Pad Thai,"restaurant, point_of_interest, food, establishment"
Tavola,"liquor_store, bar, restaurant, point_of_interest, store, food, establishment"
Moose's By The Creek,"restaurant, point_of_interest, food, establishment"
Cactus Mexican Restaurant,"restaurant, point_of_interest, food, establishment"
Southern Crescent Galley and Bar,"restaurant, point_of_interest, food, establishment"
Wooden Sun,"home_goods_store, restaurant, point_of_interest, store, food, establishment"
Brazos Tacos,"restaurant, point_of_interest, food, establishment"
Panera Bread,"cafe, meal_takeaway, bakery, restaurant, point_of_interest, store, food, establishment"
Jersey Mike's Subs,"meal_takeaway, restaurant, point_of_interest, store, food, establishment"
Canelo's Burritos,"restaurant, point_of_interest, food, establishment"
Spencer party,"restaurant, point_of_interest, food, establishment"
Mockingbird,"restaurant, point_of_interest, food, establishment"
CONMOLE,"restaurant, point_of_interest, food, establishment"
Michie Tavern ca. 1784,"restaurant, tourist_attraction, liquor_store, bar, store, food, point_of_interest, establishment"
The Local,"bar, restaurant, food, point_of_interest, establishment"
Beer Run,"restaurant, liquor_store, bar, store, food, point_of_interest, establishment"
Belmont Pizza & Pub,"meal_takeaway, bar, meal_delivery, restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, restaurant, store, food, point_of_interest, establishment"
The Red Lantern,"restaurant, food, point_of_interest, establishment"
Pad Thai,"restaurant, food, point_of_interest, establishment"
Tavola,"liquor_store, bar, restaurant, store, food, point_of_interest, establishment"
Moose's By The Creek,"restaurant, food, point_of_interest, establishment"
Cactus Mexican Restaurant,"restaurant, food, point_of_interest, establishment"
Southern Crescent Galley and Bar,"restaurant, food, point_of_interest, establishment"
Wooden Sun,"home_goods_store, restaurant, store, food, point_of_interest, establishment"
FIREFLY Restaurant + Game Room,"bar, restaurant, food, point_of_interest, establishment"
Brazos Tacos,"restaurant, food, point_of_interest, establishment"
Canelo's Burritos,"restaurant, food, point_of_interest, establishment"
Monticello Café,"restaurant, food, point_of_interest, establishment"
Spencer party,"restaurant, food, point_of_interest, establishment"
Mockingbird,"restaurant, food, point_of_interest, establishment"
CONMOLE,"restaurant, food, point_of_interest, establishment"
Michie Tavern ca. 1784,"restaurant, tourist_attraction, liquor_store, bar, point_of_interest, store, food, establishment"
Beer Run,"restaurant, liquor_store, bar, point_of_interest, store, food, establishment"
Belmont Pizza & Pub,"meal_delivery, bar, meal_takeaway, restaurant, point_of_interest, food, establishment"
The Local,"bar, restaurant, point_of_interest, food, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, restaurant, point_of_interest, store, food, establishment"
The Red Lantern,"restaurant, point_of_interest, food, establishment"
Mas,"restaurant, point_of_interest, food, establishment"
Pad Thai,"restaurant, point_of_interest, food, establishment"
Tavola,"liquor_store, bar, restaurant, point_of_interest, store, food, establishment"
Moose's By The Creek,"restaurant, point_of_interest, food, establishment"
Cactus Mexican Restaurant,"restaurant, point_of_interest, food, establishment"
FIREFLY Restaurant + Game Room,"bar, restaurant, point_of_interest, food, establishment"
Southern Crescent Galley and Bar,"restaurant, point_of_interest, food, establishment"
Monticello Café,"restaurant, point_of_interest, food, establishment"
Canelo's Burritos,"restaurant, point_of_interest, food, establishment"
Broadcloth,"restaurant, point_of_interest, food, establishment"
Mockingbird,"restaurant, point_of_interest, food, establishment"
Spencer party,"restaurant, point_of_interest, food, establishment"
CONMOLE,"restaurant, point_of_interest, food, establishment"
Belle,"restaurant, point_of_interest, food, establishment"
Michie Tavern ca. 1784,"restaurant, tourist_attraction, liquor_store, bar, food, point_of_interest, store, establishment"
Beer Run,"restaurant, liquor_store, bar, food, point_of_interest, store, establishment"
Belmont Pizza & Pub,"meal_delivery, bar, meal_takeaway, restaurant, food, point_of_interest, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, restaurant, food, point_of_interest, store, establishment"
The Red Lantern,"restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
Pad Thai,"restaurant, food, point_of_interest, establishment"
Moose's By The Creek,"restaurant, food, point_of_interest, establishment"
Cactus Mexican Restaurant,"restaurant, food, point_of_interest, establishment"
FIREFLY Restaurant + Game Room,"bar, restaurant, food, point_of_interest, establishment"
Monticello Café,"restaurant, food, point_of_interest, establishment"
Broadcloth,"restaurant, food, point_of_interest, establishment"
Canelo's Burritos,"restaurant, food, point_of_interest, establishment"
Holly's Diner,"restaurant, food, point_of_interest, establishment"
Orzo Kitchen & Wine Bar,"bar, restaurant, point_of_interest, food, establishment"
Panera Bread,"cafe, bakery, meal_takeaway, store, restaurant, point_of_interest, food, establishment"
Alamo Drafthouse Cinema Charlottesville,"movie_theater, bar, restaurant, point_of_interest, food, establishment"
Jersey Mike's Subs,"meal_takeaway, store, restaurant, point_of_interest, food, establishment"
Timberwood Tap House,"restaurant, point_of_interest, food, establishment"
Subway,"meal_takeaway, restaurant, point_of_interest, food, establishment"
Domino's Pizza,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment"
Blue Moon Diner,"bar, meal_takeaway, restaurant, point_of_interest, food, establishment"
Brazos Tacos,"restaurant, point_of_interest, food, establishment"
Jade Garden,"restaurant, point_of_interest, food, establishment"
Wooden Sun,"home_goods_store, store, restaurant, point_of_interest, food, establishment"
The Market at Mill Creek,"convenience_store, gas_station, store, restaurant, point_of_interest, food, establishment"
Taco Bell,"meal_takeaway, restaurant, point_of_interest, food, establishment"
Burger King,"restaurant, point_of_interest, food, establishment"
Jefferson Ale House,"bar, restaurant, point_of_interest, food, establishment"
Kanak Indian Kitchen,"restaurant, meal_delivery, meal_takeaway, point_of_interest, food, establishment"
Glass Half Full Taproom,"bar, restaurant, point_of_interest, food, establishment"
Harold’s Chicken,"restaurant, point_of_interest, food, establishment"
BurgerFi,"meal_takeaway, restaurant, point_of_interest, food, establishment"
Wing Zone,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment"
The Local,"bar, restaurant, food, point_of_interest, establishment"
South Street Brewery,"bar, restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
Continental Divide,"restaurant, food, point_of_interest, establishment"
Orzo Kitchen & Wine Bar,"bar, restaurant, food, point_of_interest, establishment"
Tavola,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment"
Blue Moon Diner,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment"
Maya,"bar, restaurant, food, point_of_interest, establishment"
Panera Bread,"cafe, meal_takeaway, bakery, restaurant, food, store, point_of_interest, establishment"
Alamo Drafthouse Cinema Charlottesville,"movie_theater, bar, restaurant, food, point_of_interest, establishment"
