rating,price_level,user_ratings_total,bakery,bar,cafe,convenience_store,establishment,food,gas_station,grocery_or_supermarket,home_goods_store,liquor_store,lodging,meal_delivery,meal_takeaway,movie_theater,night_club,point_of_interest,restaurant,store,tourist_attraction
4.4,2.0,449.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.5,1.7941176470588236,44.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
4.2,2.0,345.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
4.7,2.0,856.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.5,3.0,685.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
3.7,2.0,482.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.5,2.0,1286.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.1,2.0,555.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
4.6,1.7941176470588236,90.0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
3.6,1.0,266.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.2,2.0,288.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.8,1.0,2298.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
3.7,1.0,200.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.0,2.0,817.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
4.5,1.0,2638.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
3.7,2.0,1328.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.2,2.0,753.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2.9,1.0,1029.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.5,1.0,496.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0
4.4,2.0,1854.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.8,3.0,645.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.1,2.0,583.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
