name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
Glass Half Full Taproom,4.5,38.0120269,-78.4995089,"375 Merchant Walk Square, Charlottesville",N/A,"bar, restaurant, food, point_of_interest, establishment",41
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",759
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, food, point_of_interest, establishment",603
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1081
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, meal_takeaway, bakery, restaurant, food, store, point_of_interest, establishment",453
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, restaurant, food, store, point_of_interest, establishment",683
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, food, point_of_interest, establishment",1359
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, food, point_of_interest, establishment",2317
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",86
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment",607
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment",261
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, food, store, point_of_interest, establishment",41
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, food, point_of_interest, establishment",1036
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",133
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"gas_station, convenience_store, restaurant, food, store, point_of_interest, establishment",411
Taco Bell,3.4,38.0114933,-78.50268539999999,"1158 5th Street Southwest, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",812
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, food, point_of_interest, establishment",150
Burger King,3,38.0112129,-78.50493999999999,"1181 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",635
Krispy Kreme,3.9,38.01045209999999,-78.4976451,"295 Merchant Walk Avenue, Charlottesville",1,"cafe, bakery, restaurant, food, store, point_of_interest, establishment",647
Kanak Indian Kitchen,4.6,38.0117177,-78.4988716,"385 Merchant Walk Square Suite 400, Charlottesville",2,"restaurant, meal_takeaway, meal_delivery, food, point_of_interest, establishment",555
BurgerFi,3.3,38.0116705,-78.4991905,"385 Merchant Walk Square, Charlottesville",2,"meal_takeaway, restaurant, food, point_of_interest, establishment",182
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, store, food, point_of_interest, establishment",3245
